field1,field2,field3,field4
6,59,28,272
8,47,28,393
9,62,27,100
5,80,27,571
3,45,27,115
5,45,26,489
5,81,27,374
5,65,26,442
3,40,26,329
4,60,27,432
9,40,25,329
9,40,24,316
2,54,25,265
8,11,22,628
8,15,21,455
7,38,18,431
8,29,18,268
3,56,17,364
6,31,15,251
1,21,12,326
7,79,13,218
1,45,13,638
9,51,10,286
1,21,10,268
1,39,10,201
7,52,10,284
2,26,10,325
5,57,10,392
8,37,10,303
8,44,10,159
3,37,10,172
7,87,11,501
3,49,10,381
6,28,10,497
6,66,10,517
3,25,10,422
7,54,10,215
3,10,10,428
8,23,10,609
4,53,10,332
1,64,10,451
4,53,10,397
7,47,10,605
4,43,10,298
6,20,10,573
9,35,10,343
1,40,10,295
5,71,10,416
7,56,11,451
1,14,10,686
4,56,10,447
6,42,10,428
2,36,10,639
5,62,10,490
1,70,10,303
6,68,11,603
6,33,11,289
4,43,10,302
8,56,10,272
4,69,10,259
8,191,15,449
8,197,22,361
5,178,26,100
4,177,33,359
2,217,40,322
3,77,42,533
3,48,42,315
4,70,42,780
4,57,43,609
5,37,42,341
4,57,42,572
8,80,41,478
6,49,41,435
6,81,43,520
8,2,39,408
7,66,38,436
8,51,37,523
2,44,36,707
9,51,35,437
1,10,33,331
8,45,30,3100
4,57,29,3694
4,79,30,3360
5,39,30,480
8,33,27,685
5,39,25,434
8,68,25,370
1,56,24,612
9,39,22,469
6,60,20,487
3,51,18,171
8,69,16,580
9,35,14,456
6,43,12,194
7,42,10,472
1,20,10,100
5,55,10,751
5,55,10,234
4,50,10,641
6,45,10,278
7,21,10,484
9,41,10,263
1,43,10,549
6,33,10,364
7,46,10,470
3,58,10,402
8,87,12,195
5,53,11,475
9,55,10,324
5,48,10,556
9,11,10,364
4,49,10,388
9,51,10,652
5,99,12,757
9,46,10,517
3,56,10,356
4,49,10,343
9,26,10,277
6,72,11,306
2,65,11,358
7,304,21,694
2,270,31,370
2,317,44,216
1,260,53,406
3,300,64,426
6,93,65,405
8,30,64,519
9,38,63,410
7,51,62,515
4,39,59,282
6,18,56,667
5,51,56,437
8,28,54,460
1,59,52,282
1,31,51,470
6,80,52,497
2,34,50,224
5,43,49,151
1,66,49,444
7,25,47,326
1,54,48,438
4,76,49,206
9,17,45,165
1,53,43,431
4,55,43,347
6,65,41,100
6,25,39,601
8,23,36,203
1,60,36,785
7,55,36,306
1,55,37,3460
7,56,36,3647
3,36,34,3621
8,54,34,697
3,55,32,171
1,35,29,229
8,87,31,433
3,59,30,525
2,26,26,398
1,63,24,154
3,30,23,474
2,65,22,370
2,73,22,369
6,33,20,100
1,69,19,519
2,58,17,421
6,66,16,669
3,87,16,388
4,45,14,484
1,34,12,524
8,198,19,138
7,199,26,792
7,214,32,335
3,222,41,474
3,221,48,496
2,66,49,277
1,50,48,677
7,79,47,439
7,44,45,367
2,104,47,420
7,62,45,514
8,32,43,401
1,28,42,532
9,59,40,147
7,45,39,287
3,64,39,100
8,59,38,699
7,48,38,697
8,33,36,493
6,19,34,248
9,41,33,758
5,67,33,309
3,54,32,368
3,25,29,423
1,53,28,467
8,57,26,496
2,32,24,502
3,53,22,378
8,51,22,500
8,300,600,400

